remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l04q13,l04q14,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l06q8,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l07q7,l07q8,l07q9,l07q10,l07q11,l07q12,l07q13,l07q14,l07q15,l07q16,l07q17,l08q1,l08q2,l08q3,l08q4,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l10q1,l10q2,l10q3,l10q4,l10q5,l10q6,l10q7,l10q8,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l12q9,l12q10,l12q11,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l15q1,l15q2,l15q3,l15q4,l15q5,l15q6,l15q7,l16q1,l16q2,l16q3,l16q4,l16q5,l16q6,l16q7,l16q8,l16q9,l17q1,l17q2,l17q3,l17q4,l17q5,l17q6,l17q7,l17q8,l17q9
#8E6AEB0F,57.5,A11615596,226,2,2,1,1,1,3,4,3,3,2,1,5,3,1,4,3,1,3,3,3,2,2,1,2,4,4,5,3,2,4,4,2,1,NA,4,4,4,2,1,2,3,4,4,4,4,5,2,1,2,2,4,4,4,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,1,4,3,1,1,2,2,2,2,2,2,4,4,2,2,2,2,2,5,5,3,3,2,2,2,4,4,3,2,2,1,2,3,3,3,5,1,3,5,2,1,3,3,4,5,3,3,2,2,2,5,4,2,2,2,2,1,1,3,3,2,2,2,4,4,3,4,3,2,1,2,1,2,2,5,5,5,4,1,3,2,4,1,3,5,3,2,4,3,3,1,4,3
#8E6D22C1,67.5,A99011577,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,3,1,1,1,3,3,3,1,4,4,NA,2,3,1,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,3,4,3,2,3,2,1,4,3,5,1,3,2,2,2,2,2,4,1,1,2,4,2,2,4,5,3,3,4,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,3,2,2,2,2,4,4,2,3,2,3,4,3,5,5,2,2,1,1,4,3,3,2,1,1,2,1,3,1,1,5,2,5,1,3,5,5,3,3,3,3,5,4,3,3,3,2,2
#8E6D54B7,53.5,A11729974,204,2,NA,1,1,2,3,2,3,3,2,1,3,3,1,2,3,4,4,2,3,1,1,5,4,4,4,3,3,3,3,4,3,1,5,1,4,3,3,1,5,2,3,3,4,3,3,2,1,2,2,4,4,4,4,5,3,1,3,1,2,3,1,2,2,1,1,2,2,1,4,3,4,1,1,1,1,1,1,1,1,3,3,3,4,1,2,4,3,1,3,5,3,4,1,4,1,NA,1,3,4,4,2,5,1,1,4,1,2,1,1,1,2,2,2,3,2,2,3,4,2,4,4,2,2,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,4,4,5,4,5,4,1,NA,3,4,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8E6D9C7F,56.5,A10884559,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,1,4,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,4,3,4,2,3,2,1,2,3,3,3,3,2,2,1,2,3,3,5,3,4,2,2,2,2,2,4,4,NA,3,3,2,2,2,2,5,5,3,3,3,3,2,3,3,1,1,3,3,4,3,5,5,3,3,5,5,2,2,2,NA,2,2,3,2,2,1,2,3,3,3,1,2,3,1,1,1,2,4,2,2,1,1,3,2,1,1,NA,2,4,3,3,3,3,3,4,3,3,3,3,2,2,2,1,1,1,2,2,4,5,5
#8E6DD83B,65,A99000082,113,2,2,1,1,4,2,2,1,3,1,NA,3,3,1,1,3,5,4,4,4,2,4,1,4,4,4,3,3,1,2,2,4,1,4,1,4,3,3,2,2,2,4,4,4,3,NA,2,NA,2,2,4,4,4,4,2,3,1,1,4,3,3,3,3,5,5,1,4,3,4,4,3,1,1,4,4,2,2,2,1,3,2,1,2,4,2,4,3,3,4,3,2,2,2,3,3,1,1,2,2,3,3,2,5,1,1,4,5,2,1,3,2,2,2,2,2,2,1,1,2,2,2,4,4,3,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,2,1,1,4,4
#8E6F2ECF,75.5,A99088201,64,2,2,2,2,3,3,2,3,3,2,2,1,4,1,2,3,4,4,4,4,4,3,1,3,3,4,5,3,2,4,NA,1,1,5,4,4,3,3,1,1,2,2,2,4,5,3,2,1,2,2,4,4,4,4,2,1,5,1,1,3,3,1,3,3,3,1,2,2,1,4,3,1,1,4,3,3,2,2,4,4,1,1,NA,NA,NA,NA,3,3,3,3,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,2,1,1,4,2,2,2,2,2,3,1,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,5,3,3,2,NA,1,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8E6F30D1,56.5,A99005037,159,2,2,1,1,3,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,1,2,1,4,1,1,5,NA,4,4,4,1,1,2,1,3,4,4,3,2,1,3,2,4,NA,4,4,2,3,1,2,3,3,1,2,1,2,2,1,2,NA,1,4,3,1,4,2,2,1,2,1,3,3,1,1,4,3,2,2,2,4,1,3,2,3,2,1,4,1,1,2,1,2,2,3,3,2,2,4,4,2,1,2,3,1,2,2,3,2,4,2,3,3,2,2,1,2,1,1,2,2,1,2,2,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,3,2,1,2,2,3,2,2,3,3,1,4,3
#8E757C87,76.5,A11138872,50,2,2,1,1,3,3,2,3,NA,2,1,NA,1,1,3,5,5,NA,1,3,3,3,1,4,NA,4,3,1,1,1,4,1,1,1,4,NA,3,3,1,2,2,3,2,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,NA,4,4,3,3,3,1,4,3,2,2,3,1,1,4,4,2,1,3,4,4,4,2,2,2,2,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,1,2,3,3,1,3,3,1,3,3,3,3,3,3,3,2,2,1,1,4,4,5,2,2,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,4,2,4,3,4,NA,2,4,NA,2,5,5
#8E7816E0,72.5,A99036796,76,1,2,1,1,3,3,1,3,3,2,1,3,3,1,3,3,4,5,2,3,2,4,1,4,4,2,3,3,1,4,4,4,2,5,4,4,3,3,2,2,4,4,3,3,2,5,2,1,1,2,1,2,1,4,1,3,1,4,1,2,3,3,5,4,4,1,2,2,1,4,3,2,1,2,2,2,4,2,4,4,4,4,4,4,2,2,3,3,2,3,2,2,2,3,4,1,2,3,1,1,2,2,4,3,1,2,3,1,1,2,3,1,1,2,2,2,3,2,1,1,NA,4,4,3,2,2,3,1,5,1,4,2,4,1,3,3,1,1,2,1,2,1,4,1,4,1,1,1,4,4,3,3,3,3,2,4,3,1,1,2,2
#8E78BD4B,27,A09234283,252,2,2,2,1,1,3,2,3,3,NA,NA,NA,1,1,3,5,2,NA,2,2,2,2,5,2,4,3,3,3,2,1,1,1,NA,5,4,4,3,2,1,2,2,4,3,4,4,5,2,2,2,2,3,4,2,4,2,3,2,1,1,3,3,3,1,4,4,NA,4,3,3,4,3,3,4,3,1,3,3,2,1,3,1,1,NA,2,2,2,4,5,2,3,2,2,2,3,1,1,1,1,1,3,3,3,4,1,2,3,5,1,2,1,2,1,3,3,2,2,3,2,3,3,3,3,1,3,1,1,2,2,3,NA,NA,1,NA,4,4,2,NA,1,4,1,2,2,1,2,4,5,1,3,3,3,4,3,2,3,3,2,3,3,1,1,4
#8E7B8277,71.5,A99075158,118,2,2,1,1,2,2,2,2,3,1,1,2,3,1,3,3,1,1,1,3,3,3,3,3,4,1,5,5,1,2,4,1,1,5,2,2,1,3,4,2,4,4,4,4,2,4,2,1,2,1,1,4,NA,4,1,3,1,1,1,1,1,1,1,1,1,1,4,2,1,4,1,1,1,4,2,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,4,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,3,NA,1,1,1,NA,NA,NA,NA,1,1,1,2,NA,NA,1,1,1,1,2,1,2,1,2
#8E7FCB3A,84.5,A11418698,16,2,2,1,NA,3,3,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,2,1,3,3,3,3,4,4,2,2,2,2,3,1,1,4,4,5,2,1,1,2,3,3,4,4,3,4,1,3,1,3,3,1,5,3,3,1,2,2,1,4,3,1,1,4,4,4,2,2,4,4,1,1,5,1,3,3,5,4,2,2,2,2,2,1,3,1,1,1,1,5,5,3,3,1,1,5,5,2,1,3,3,1,1,1,1,2,1,2,3,3,3,3,2,2,3,2,5,4,3,2,2,4,4,2,2,2,2,5,1,1,5,5,5,2,2,5,3,3,4,4,3,3,2,2,1,1,3,1,1,3,3
#8E86ACA4,52.5,A12397005,214,2,NA,4,NA,2,3,4,2,NA,2,1,3,NA,3,2,2,2,2,1,NA,2,2,NA,4,4,3,2,NA,1,3,NA,2,NA,NA,2,1,3,2,2,2,2,1,3,3,2,NA,3,1,3,2,2,2,2,NA,3,1,2,1,1,1,1,1,1,1,2,NA,NA,1,NA,2,2,3,3,2,2,2,4,4,3,3,1,NA,4,NA,1,NA,2,NA,2,NA,2,2,NA,2,NA,1,NA,1,2,1,1,2,NA,1,1,5,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,1,1,5,1,1,2,4,2,3,NA,1,NA,1,NA,1,NA,2,NA,2,5,3,1,1,2,4,3,1,1,3,3,3,1,NA,4,2
#8E87F0F9,33,A99022155,258,1,2,1,1,3,2,2,2,3,1,1,1,3,1,2,3,1,1,3,3,3,3,3,3,4,1,5,5,1,2,4,1,1,5,2,2,1,3,4,2,4,4,4,4,3,4,2,1,2,2,4,4,2,4,2,3,1,4,4,1,3,3,3,4,4,NA,4,3,1,4,3,4,1,4,1,2,4,4,1,3,1,1,2,2,2,2,3,3,1,2,2,2,4,2,3,1,1,1,1,2,3,1,1,1,1,4,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,4,2,3,2,1,3,1,1,5,1,1,1,1,NA,1,1,1,2,1,1,1,3,1,1,1,1,1,4,NA
#8E88DDDB,86,A11474982,41,2,2,1,1,2,4,4,3,3,2,NA,3,3,3,2,2,2,3,3,3,4,1,1,4,4,4,5,3,4,1,2,1,5,2,4,4,2,2,1,1,1,5,5,4,4,4,2,2,1,1,3,3,3,3,3,3,2,3,3,3,3,4,4,2,2,1,3,3,2,4,4,1,1,4,2,2,3,1,1,1,1,1,1,3,1,2,4,4,2,2,1,4,2,1,1,1,1,3,3,3,3,3,3,1,1,5,5,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,1,1,3,2,2,4,3,3,NA,1,1,1,1,2,2,2,1,1,3,3,3,2,2,1,1,2,2,2,2,3,3,3,5,5
#8E8F1A1B,59.5,A11221430,181,2,2,1,1,2,3,3,4,4,1,1,3,3,1,3,3,1,4,2,2,2,2,3,5,4,2,3,3,1,3,4,4,1,3,1,4,3,3,1,1,2,2,3,3,4,4,2,2,2,3,1,2,4,4,4,2,1,1,1,3,3,3,4,2,1,NA,1,3,3,4,3,2,2,2,1,2,4,4,2,4,2,2,2,2,1,1,3,3,3,2,3,3,3,2,2,NA,NA,4,3,3,3,2,3,2,1,2,5,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,3,4,2,2,1,1,1,1,NA,1,3,4,4,2,4,3,1,3,5,1,1,2,2,1,1,2,2,1,1,3,1,1,5,1
#8E92D7CB,70,A99108090,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,3,5,1,4,2,3,2,2,3,4,4,4,3,2,2,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,2,2,2,3,NA,1,2,1,4,3,1,2,3,2,2,4,3,2,3,2,1,4,4,2,3,NA,NA,2,3,2,2,2,5,4,1,1,1,3,3,NA,4,4,2,3,2,5,2,2,3,3,2,3,2,1,2,1,1,1,4,3,4,2,2,5,4,1,3,NA,2,2,1,1,4,3,2,2,1,1,2,4,5,2,1,1,5,2,3,3,2,3,3,3,3,1,4,3,1,1,3,5
#8EB47349,74.5,A11532133,59,2,2,4,NA,4,1,3,1,3,NA,1,3,3,3,3,3,5,5,5,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,1,1,2,3,3,3,3,3,2,1,2,2,4,4,4,4,5,4,1,1,2,4,4,2,2,1,1,2,3,NA,4,4,4,5,1,1,1,1,2,2,2,2,1,1,3,5,2,NA,5,5,3,3,NA,NA,NA,NA,NA,1,1,5,5,3,3,5,1,1,3,5,5,1,1,3,3,3,3,3,1,1,3,3,3,3,4,1,2,2,5,5,1,1,5,NA,1,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,4,4,3,NA,1,4,1,1,5,3,NA,4,NA
#8EC8CB8D,64.5,A11515421,126,2,2,1,1,3,3,2,1,4,2,1,3,3,1,3,NA,4,4,2,2,2,2,1,5,4,4,3,3,2,1,4,1,1,4,1,4,NA,5,1,1,2,3,3,4,3,4,4,NA,2,2,3,3,1,4,5,3,1,1,1,3,3,2,2,3,3,2,4,4,4,4,3,1,1,2,4,5,2,2,4,4,4,3,3,5,2,2,3,5,5,2,2,3,3,4,3,NA,NA,1,1,2,4,4,4,3,3,3,3,1,2,3,3,2,3,3,2,2,4,3,4,1,2,3,3,2,1,3,4,5,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,1,3,2,2
#8EE31D70,65,A11388154,117,2,2,4,4,1,3,2,1,3,1,1,3,3,2,3,3,4,3,3,3,4,5,1,4,4,4,3,3,4,2,4,3,1,4,1,5,3,3,1,2,2,2,NA,4,4,4,2,1,1,1,4,4,3,4,1,4,3,1,1,3,3,5,5,1,1,1,3,3,1,4,3,1,1,1,4,4,1,1,1,1,4,4,5,2,2,2,5,5,4,3,2,2,2,4,4,1,1,4,3,4,3,5,5,1,1,4,5,2,1,3,3,5,2,2,3,2,2,2,4,3,3,3,3,3,2,2,3,3,4,2,2,2,2,1,1,2,1,3,4,1,1,5,5,1,5,4,3,3,2,2,1,1,3,3,2,2,3,3,3,2,2
#8EE3C3AE,51,A09661915,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,3,3,2,2,3,3,2,2,1,NA,4,4,3,3,4,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,4,3,3,1,2,4,2,1,2,3,4,4,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,2,5,NA,NA,NA,1,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8F5130EE,80,A10797917,22,2,2,1,4,3,3,2,3,3,1,NA,3,4,3,3,3,5,5,3,4,NA,2,1,2,4,4,3,3,4,1,4,2,5,3,4,4,3,3,2,2,2,3,3,4,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,3,2,1,3,3,NA,NA,NA,1,4,3,3,3,4,2,2,2,2,3,4,1,1,5,2,2,2,5,4,4,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,2,2,3,3,3,3,3,2,2,2,2,4,4,3,4,1,2,1,3,5,1,3,1,2,4,4,2,2,NA,2,2,1,2,2,2,1,5,2,5,1,1,2,4,2,3,3,3,1,4,3,1,1,5,5
#8F80A8A7,60,A12440386,140,2,2,2,2,3,3,2,3,3,NA,1,3,NA,5,3,3,4,4,3,NA,2,2,1,4,4,4,3,3,2,4,4,5,5,2,4,4,NA,3,1,5,2,3,3,3,5,5,2,1,3,3,4,4,1,4,4,4,1,1,1,3,3,1,1,4,4,NA,NA,2,1,4,3,4,1,4,2,2,4,2,4,4,5,1,4,4,1,1,4,5,5,3,2,4,2,2,4,3,2,1,NA,1,3,3,3,1,1,3,3,2,1,3,3,2,3,3,2,2,1,2,1,3,2,3,2,2,4,4,1,1,5,2,2,4,4,2,NA,3,NA,2,1,5,5,5,5,2,2,2,3,3,1,5,2,3,3,3,4,4,3,4,4,4,3
#8FA28DA0,81,A12112452,32,2,2,1,1,1,3,2,3,3,1,1,3,3,1,3,3,4,4,3,3,2,2,1,5,4,4,3,3,2,4,4,2,1,1,4,4,4,3,1,1,2,3,3,4,4,4,2,1,2,1,5,4,4,4,2,4,2,1,1,3,3,1,1,1,1,3,2,2,1,4,3,1,1,4,2,2,2,2,2,4,1,1,4,4,1,2,3,2,3,3,2,2,2,2,2,1,2,1,1,4,NA,4,4,1,3,3,4,2,1,5,5,4,3,3,2,2,2,3,3,3,4,3,2,2,3,3,2,5,4,4,2,4,4,3,5,2,2,1,2,5,5,5,3,3,4,5,4,4,3,1,2,2,2,3,4,4,3,4,4,3,3
#8FA4FCD7,71,A12109428,90,2,2,1,1,3,3,2,3,3,4,1,2,3,1,2,5,5,5,1,3,2,2,1,4,4,3,1,3,1,4,2,2,2,3,4,4,3,1,1,1,2,5,5,4,1,4,2,1,2,2,4,4,4,4,1,2,1,1,1,4,4,3,3,3,3,5,3,2,1,4,3,3,1,3,3,4,5,2,3,4,2,2,1,4,1,2,5,2,4,3,2,2,2,2,3,3,2,1,1,4,4,3,3,1,1,5,5,2,1,3,3,1,3,3,2,2,1,3,3,3,5,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,1,1,1,4,4,5,3,3,2,3,4,1,2,2,3,3,2,4,4,1,1,5,4
#8FA50A20,60.5,A10624264,185,2,2,1,1,4,5,4,2,5,1,1,3,2,1,1,3,4,4,5,4,2,2,3,4,4,NA,3,3,2,1,NA,1,1,2,1,4,1,1,2,2,2,2,2,4,5,5,2,1,1,1,4,4,5,4,2,3,1,4,4,3,3,1,5,1,3,2,2,2,1,4,3,1,1,5,3,3,1,2,4,4,2,4,5,4,2,2,3,3,2,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,2,2,1,5,1,4,3,1,2,5,2,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,4,1,2,2,1,5,5,1,1,2,5,3,3,3,3,2,1,2,2,4,4,2,5,3,4,4,2,3
#8FAA5772,70,A11168114,211,2,2,2,1,4,4,4,2,4,2,1,1,4,2,3,3,5,NA,4,3,2,2,1,4,4,4,5,5,4,4,4,1,NA,1,5,1,3,3,1,2,5,2,5,4,3,3,1,NA,4,4,2,4,1,3,3,3,2,4,3,3,1,3,1,1,3,NA,NA,2,5,4,3,1,1,4,2,2,2,2,2,4,1,1,2,4,2,2,5,5,2,3,2,2,3,5,3,NA,1,5,5,1,3,4,4,1,NA,3,3,1,1,3,3,2,2,3,2,2,1,2,4,4,NA,3,1,1,1,2,5,1,3,2,2,4,4,2,2,3,2,1,1,1,5,5,3,2,1,4,3,1,1,1,3,3,4,3,4,2,3,1,4,5,5
#8FAB3410,60,A11455555,163,NA,NA,NA,NA,3,3,2,3,3,1,1,2,3,1,3,3,4,4,3,3,2,2,1,2,2,4,5,4,2,1,4,1,NA,3,4,4,5,3,1,1,1,4,4,4,4,3,2,1,3,1,2,4,1,3,1,3,2,3,1,3,3,2,3,3,3,1,2,2,3,4,3,1,1,4,1,1,2,2,4,4,1,1,2,2,2,2,1,3,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,3,3,2,2,3,2,1,4,4,1,3,4,2,1,2,1,1,1,1,2,5,2,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,2,3,3,3,3,3,4,1,4,NA,1,1,5,5
#8FAE7455,74,A99041135,86,2,2,2,2,2,3,2,3,5,5,1,3,3,4,5,5,5,5,2,3,2,2,1,4,4,4,3,3,2,3,4,3,3,5,4,4,3,2,1,2,5,4,4,4,3,3,2,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,1,1,2,1,1,1,1,1,1,1,1,1,NA,3,3,4,3,1,1,5,5,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#8FC9DC9A,69,A10545671,180,2,2,4,4,1,3,2,3,3,2,1,4,3,4,3,3,5,4,3,3,2,2,1,2,4,4,NA,3,2,2,2,1,1,3,4,4,2,5,1,1,2,2,2,4,3,3,2,1,3,2,4,4,2,2,2,5,1,2,2,4,4,3,3,3,3,1,2,2,1,4,3,1,1,1,3,3,2,2,4,4,1,1,4,4,2,2,3,3,2,2,2,3,3,4,4,2,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,5,NA,NA,3,3,3,3,3,1,1,2,2,3,3,2,2,4,3,3,5,5
#90222795,63,A12405351,128,2,2,1,1,3,3,2,5,3,1,1,1,3,1,3,3,4,4,3,3,2,2,1,5,4,4,3,3,2,1,1,2,2,2,4,4,3,3,1,2,2,3,3,4,4,5,2,1,NA,2,3,4,2,4,2,3,1,4,2,3,3,5,3,1,1,NA,2,2,1,4,3,4,1,3,2,2,3,1,1,4,1,1,4,4,2,2,4,5,3,3,2,3,2,2,4,3,2,3,1,3,1,3,4,1,1,5,1,1,1,1,3,1,3,2,3,4,3,3,3,3,4,4,3,2,3,1,1,1,4,2,2,4,4,2,2,2,2,1,3,1,4,2,5,2,3,4,4,3,3,1,3,2,3,3,4,4,3,1,1,4,5
#905FF03F,58,A11903006,142,2,2,1,2,4,3,2,4,5,2,1,3,3,2,3,3,5,2,3,3,4,4,1,4,4,4,3,3,4,4,4,1,1,3,1,4,2,3,1,2,2,4,4,4,5,5,2,1,3,2,3,4,4,4,4,3,1,2,4,3,3,2,1,2,3,1,1,2,1,5,3,2,4,4,2,2,2,4,4,3,1,2,4,4,2,2,3,5,2,3,2,3,2,2,2,3,1,3,1,4,1,3,4,1,1,5,5,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,3,2,4,4,3,2,3,1,4,4,3,1,3,NA
#90646094,65,A11437240,161,2,2,1,1,3,3,2,1,3,2,1,3,3,5,3,2,4,4,1,3,2,2,2,2,4,4,3,3,2,4,4,1,1,5,4,4,4,3,1,1,2,3,3,4,4,5,2,2,2,2,4,4,4,4,2,3,5,3,2,3,3,1,1,4,4,1,3,2,1,4,3,2,1,2,1,2,4,2,2,4,1,1,3,4,2,2,4,4,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,1,1,2,3,4,3,3,2,2,5,5,5,5,5,1,2,4,4,1,2,2,2,3,3,4,1,NA,3,2,2,5,3,3,1,1,3,3,2,4,4,4,2,2,2,2,2
#90729173,47,A12270393,247,2,2,3,1,2,3,3,4,5,1,1,5,4,NA,3,3,5,4,3,3,2,2,5,3,4,2,3,3,2,1,4,2,2,4,3,4,3,3,3,2,4,2,3,4,2,3,1,2,2,2,3,4,1,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,4,4,1,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,3,3,1,4,2,3,2,2,1,1,1,1,NA,2,2,4,4,1,1,3,1,3,3,2,4,2,2,3,2,5,3,3,2,4,2,3,1,1,2,1,1,3,1,5,5
#9081CBDA,53,A11432271,217,3,2,4,1,3,3,5,2,3,3,1,2,1,5,3,3,1,5,2,3,1,2,1,3,2,4,1,3,2,2,1,1,1,NA,1,4,3,3,1,1,4,2,2,2,1,1,2,1,3,3,1,4,5,4,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,4,2,4,3,3,2,1,2,2,1,1,2,2,4,4,2,2,1,2,4,4,2,2,5,4,4,1,1,3,3,1,3,2,2,1,1,2,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,4,2,2,2,2,2,1,1,2,1,1,1,1,1,4,1,3,3,5,1,4,2,2,2,3,3,3,3,3,3,3,3,3,3
#908B6A71,52,A91083706,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,3,3,2,3,3,3,3,3,1,4,4,4,3,3,2,3,4,2,2,NA,3,4,3,3,2,2,4,4,4,4,5,5,2,1,3,2,4,4,2,4,5,2,2,NA,3,3,3,3,3,1,1,1,2,2,4,4,3,4,4,2,2,2,3,3,1,4,1,4,4,4,1,1,3,3,3,3,2,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,4,4,1,3,2,2,2,2,2,1,2,2,2,2,2,5,4,2,2,3,2,3,2,1,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,3,3,2,1,NA
